"drug1","drug2","type"
"ACARBOSE","GATIFLOXACIN","CRITICAL"
"ACARBOSE","PRAMLINTIDE","CRITICAL"
"ACEBUTOLOL","VERAPAMIL","CRITICAL"
"ACITRETIN","ALCOHOL","CRITICAL"
"ACITRETIN","DESOGESTREL","CRITICAL"
"ACITRETIN","LEVONORGESTREL","CRITICAL"
"ACITRETIN","NORELGESTROMIN","CRITICAL"
"ACITRETIN","NORETHINDRONE","CRITICAL"
"ACITRETIN","NORETHYNODREL","CRITICAL"
"ACITRETIN","NORGESTIMATE","CRITICAL"
"ACITRETIN","NORGESTREL","CRITICAL"
"ACYCLOVIR","TIZANIDINE","CRITICAL"
"ADALIMUMAB","ANAKINRA","CRITICAL"
"ALATROFLOXACIN MESYLATE","MESORIDAZINE","CRITICAL"
"ALATROFLOXACIN MESYLATE","THIORIDAZINE","CRITICAL"
"ATOMOXETINE HCL","ALBUTEROL","CRITICAL"
"ALFUZOSIN","ITRACONAZOLE","CRITICAL"
"KETOCONAZOLE","ALFUZOSIN","CRITICAL"
"ALFUZOSIN","QUINUPRISTIN","CRITICAL"
"ALFUZOSIN","RITONAVIR","CRITICAL"
"RITONAVIR","ALFUZOSIN","CRITICAL"
"ALFUZOSIN","TADALAFIL","CRITICAL"
"ALLOPURINOL","AZATHIOPRINE","CRITICAL"
"ALLOPURINOL","MERCAPTOPURINE","CRITICAL"
"ALOSETRON","FLUVOXAMINE MALEATE","CRITICAL"
"ALPRAZOLAM","DELAVIRDINE MESYLATE","CRITICAL"
"EFAVIRENZ","ALPRAZOLAM","CRITICAL"
"ALPRAZOLAM","INDINAVIR SULFATE","CRITICAL"
"ALPRAZOLAM","VORICONAZOLE","CRITICAL"
"ALTEPLASE","NITROGLYCERIN","CRITICAL"
"ALUMINUM HYDROXIDE","CIPROFLOXACIN","CRITICAL"
"AMIKACIN","CIDOFOVIR","CRITICAL"
"AMILORIDE","BENAZEPRIL","CRITICAL"
"AMILORIDE","CAPTOPRIL","CRITICAL"
"AMILORIDE","FOSINOPRIL","CRITICAL"
"AMILORIDE","LISINOPRIL","CRITICAL"
"AMILORIDE","POTASSIUM ACETATE","CRITICAL"
"AMILORIDE","POTASSIUM BICARBONATE","CRITICAL"
"AMILORIDE","POTASSIUM CHLORIDE","CRITICAL"
"AMILORIDE","POTASSIUM CITRATE","CRITICAL"
"AMILORIDE","POTASSIUM GLUCONATE","CRITICAL"
"AMILORIDE","QUINAPRIL","CRITICAL"
"AMILORIDE","RAMIPRIL","CRITICAL"
"AMINOPHYLLINE","AZITHROMYCIN","CRITICAL"
"AMINOPHYLLINE","CIMETIDINE","CRITICAL"
"AMINOPHYLLINE","CIPROFLOXACIN","CRITICAL"
