subject_id	cv_index
3	2
9	2
21	1
68	3
105	2
106	1
117	1
145	3
156	1
171	2
191	3
201	3
211	2
214	3
245	3
249	2
250	2
252	3
275	1
281	2
323	1
339	2
344	3
368	1
405	2
406	3
433	2
439	2
457	2
468	1
507	2
538	3
546	1
551	2
565	1
634	2
653	1
670	2
682	1
689	2
710	1
719	1
726	3
740	3
743	2
750	2
751	3
754	3
770	2
773	1
781	2
798	3
805	1
806	1
820	2
827	2
843	1
849	3
897	1
899	1
906	3
921	3
930	3
975	2
978	2
984	3
985	1
998	1
1006	2
1037	3
1038	1
1049	3
1050	3
1053	3
1079	1
1092	2
1098	1
1104	3
1141	1
1184	3
1193	2
1206	1
1227	2
1228	1
1241	2
1266	2
1276	1
1299	2
1305	1
1320	1
1326	3
1337	1
1377	3
1390	3
1430	3
1453	2
1493	3
1537	2
1621	2
1652	1
1660	2
1676	1
1704	3
1714	1
1771	1
1790	2
1799	3
1832	2
1833	3
1847	3
1893	3
1978	2
1995	3
2014	3
2015	3
2018	3
2074	1
2098	2
2167	1
2177	3
2178	1
2180	1
2187	3
2195	2
2223	3
2224	2
2228	3
2245	3
2268	1
2272	1
2280	1
2291	2
2322	1
2332	1
2364	3
2386	1
2401	1
2415	2
2423	1
2428	1
2478	1
2498	3
2511	2
2538	1
2539	1
2586	2
2587	3
2592	2
2600	3
2603	3
2625	1
2628	2
2636	2
2644	1
2690	2
2691	2
2694	3
2700	1
2702	2
2775	2
2777	2
2793	3
2827	2
2872	1
2925	3
2981	2
2990	1
3002	1
3019	3
3052	1
3122	3
3132	1
3139	1
3156	3
3179	3
3205	2
3220	3
3236	1
3261	1
3287	1
3310	2
3356	3
3362	2
3369	2
3386	3
3392	1
3397	3
3437	1
3564	3
3588	2
3600	2
3616	2
3683	1
3684	1
3694	1
3695	3
3716	3
3722	1
3748	1
3790	3
3798	2
3804	2
3826	1
3847	2
3848	3
3852	2
3860	2
3866	2
3867	1
3876	2
3879	3
3888	3
3895	3
3896	3
3903	3
3932	1
3935	2
3941	2
4006	2
4022	2
4032	3
4041	3
4058	2
4063	1
4082	1
4090	1
4100	2
4133	2
4140	3
4166	2
4180	2
4187	1
4230	2
4252	1
4260	2
4294	2
4324	3
4329	2
4331	1
4334	3
4348	2
4394	2
4395	1
4424	2
4449	2
4453	3
4461	3
4495	2
4587	2
4603	2
4653	2
4655	3
4664	2
4668	1
4671	3
4679	2
4743	1
4748	2
4754	1
4787	2
4795	1
4875	1
4877	2
4904	1
4914	3
4923	2
4925	3
4927	1
4948	3
4949	1
4978	1
5027	2
5049	1
5070	3
5072	2
5083	1
5090	1
5193	3
5197	3
5244	3
5251	3
5264	2
5289	1
5312	2
5313	3
5327	3
5360	3
5367	3
5369	1
5370	2
5373	1
5400	1
5430	2
5478	3
5491	1
5495	3
5496	3
5504	2
5573	2
5593	2
5609	1
5676	2
5701	3
5710	2
5729	1
5752	2
5772	1
5775	3
5818	1
5886	1
5910	2
5937	3
5948	3
5955	3
5995	3
6005	2
6012	1
6016	2
6017	1
6024	3
6032	3
6038	2
6042	1
6049	1
6082	1
6090	1
6107	2
6112	1
6116	1
6128	3
6186	2
6187	3
6191	3
6214	3
6299	1
6359	2
6382	3
6383	3
6414	3
6429	2
6432	2
6464	2
6468	1
6471	3
6480	1
6516	3
6525	3
6533	1
6539	1
6553	1
6567	2
6605	2
6613	2
6636	3
6637	3
6667	3
6685	3
6696	1
6710	2
6718	2
6739	1
6787	2
6794	1
6802	2
6829	3
6874	1
6878	1
6910	2
6917	3
6922	2
6973	1
6988	3
6996	1
7050	3
7062	3
7110	3
7125	3
7159	2
7160	3
7181	1
7185	1
7225	1
7260	3
7262	1
7271	3
7272	2
7277	1
7304	1
7316	3
7354	3
7355	3
7358	3
7363	3
7375	2
7381	3
7391	2
7401	1
7402	1
7415	3
7427	3
7481	2
7492	3
7538	1
7539	2
7605	1
7614	1
7629	3
7636	2
7637	3
7641	1
7659	1
7676	2
7696	1
7728	1
7782	3
7803	3
7866	2
7874	3
8013	3
8014	2
8018	1
8036	3
8066	2
8070	3
8081	1
8084	3
8145	2
8152	1
8188	2
8199	2
8231	1
8281	1
8337	3
8339	1
8422	2
8440	2
8444	3
8463	2
8489	1
8519	1
8541	3
8548	3
8566	2
8661	2
8668	3
8685	3
8692	3
8695	3
8709	1
8714	1
8721	3
8734	2
8769	2
8770	2
8789	1
8790	1
8791	3
8815	1
8840	3
8841	2
8896	1
8920	1
8942	2
8968	3
8974	3
9013	3
9021	2
9054	3
9091	2
9128	1
9132	3
9152	3
9158	1
9233	3
9248	3
9259	2
9272	2
9302	1
9304	1
9331	1
9377	1
9416	1
9426	2
9440	3
9444	1
9465	3
9473	2
9482	2
9503	1
9536	1
9537	2
9552	1
9567	2
9778	3
9790	3
9795	3
9798	2
9822	1
9826	1
9827	2
9828	2
9900	1
9905	1
9929	2
9965	2
9967	3
9970	3
9976	3
9981	1
10032	1
10038	3
10045	2
10049	3
10059	1
10061	2
10076	2
10094	2
10111	2
10119	3
10138	3
10160	3
10186	1
10187	2
10199	2
10207	1
10237	2
10246	2
10248	1
10274	1
10277	3
10278	2
10299	1
10301	1
10326	1
10360	1
10366	1
10377	2
10380	1
10414	1
10431	3
10444	3
10446	1
10464	1
10496	3
10498	1
10510	3
10511	3
10525	2
10563	2
10569	2
10594	1
10606	3
10629	3
10650	2
10677	1
10679	3
10731	3
10742	2
10763	1
10799	2
10809	1
10811	1
10855	3
10906	2
10967	2
10972	3
10973	1
10979	1
10987	2
10999	3
11026	1
11063	3
11065	2
11080	1
11096	2
11099	1
11108	3
11109	2
11147	1
11155	1
11162	3
11167	2
11175	3
11186	2
11194	2
11204	1
11228	2
11262	3
11273	2
11280	1
11320	1
11336	3
11341	1
11343	1
11355	2
11378	2
11425	3
11467	1
11479	2
11506	1
11523	1
11544	1
11554	1
11559	3
11577	1
11583	3
11587	3
11633	3
11634	1
11658	1
11684	1
11686	2
11722	1
11764	1
11782	1
11796	2
11829	2
11853	3
11858	2
11861	3
11908	2
11912	2
11932	3
11944	3
11949	3
11956	1
11981	1
12038	1
12054	1
12098	2
12104	3
12136	2
12177	1
12183	1
12278	2
12287	2
12356	2
12357	3
12384	3
12413	3
12426	2
12450	1
12480	1
12613	1
12627	3
12640	1
12643	1
12645	1
12685	1
12737	1
12739	1
12744	1
12746	2
12762	3
12775	3
12792	2
12798	1
12810	3
12820	3
12821	3
12834	2
12964	1
12993	2
13038	3
13041	2
13050	2
13080	3
13183	1
13186	1
13192	1
13207	2
13214	2
13249	1
13294	3
13302	2
13308	3
13345	1
13373	3
13374	1
13412	3
13436	1
13438	2
13439	2
13493	3
13501	2
13536	2
13541	1
13542	3
13566	1
13598	2
13599	3
13600	1
13642	2
13653	3
13686	1
13781	1
13806	3
13859	3
13922	1
13944	3
13946	3
13951	3
13957	3
13985	2
13992	3
14030	1
14058	3
14106	2
14116	2
14123	2
14131	3
14150	1
14164	3
14204	2
14241	3
14255	3
14263	2
14267	1
14268	3
14269	1
14302	3
14315	1
14334	2
14391	3
14394	3
14405	1
14412	3
14432	1
14456	1
14472	1
14539	2
14600	2
14628	1
14655	3
14664	3
14676	2
14691	1
14699	2
14723	1
14780	2
14787	1
14797	1
14800	3
14818	1
14851	1
14855	3
14898	3
14905	1
14918	3
14922	3
14936	1
14958	1
14967	1
14975	2
14987	2
15055	2
15062	3
15066	1
15122	1
15124	2
15174	3
15194	1
15209	2
15243	3
15247	3
15254	2
15275	3
15291	1
15303	2
15305	2
15330	2
15333	3
15352	1
15380	1
15382	3
15394	3
15472	1
15489	1
15498	1
15505	1
15526	2
15548	3
15566	2
15594	3
15602	1
15612	2
15624	2
15641	3
15647	2
15648	2
15656	3
15687	1
15716	3
15728	1
15747	2
15748	1
15761	3
15773	2
15776	2
15784	2
15794	1
15811	3
15819	2
15847	3
15876	3
15916	2
15930	3
15974	2
15977	2
16014	3
16055	3
16072	2
16112	3
16117	1
16122	1
16149	1
16186	1
16216	2
16241	2
16261	3
16264	3
16294	1
16332	2
16336	2
16367	3
16373	2
16375	3
